ko_id,gene_name,subcategory,evidence_tier,lambda_original,genus,n_genomes_with_ko,genus_genome_total,presence_fraction,y_transformed
K02010,,,,,uba7542,1,6,0.16666666666666666,0.4205343352839651
K09820,,,,,serratia_a,2,12,0.16666666666666666,0.4205343352839651
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,archangium,2,4,0.5,0.7853981633974484
K03795,,,,,akkermansia,11,34,0.3235294117647059,0.6050418032156858
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,ligilactobacillus,22,64,0.34375,0.626486311433508
K15727,,,,,cainvv01,8,18,0.4444444444444444,0.7297276562269663
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,cupriavidus,79,116,0.6810344827586207,0.9706414129203319
K02016,,,,,crocosphaera,3,3,0.9999,1.5607961601207307
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,bosea,27,51,0.5294117647058824,0.8148269163709889
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,pseudokineococcus,1,2,0.5,0.7853981633974484
K02484,,,,,salinibacter,6,12,0.5,0.7853981633974484
K15727,,,,,legionella_d,2,3,0.6666666666666666,0.9553166181245093
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,parolsenella,6,14,0.42857142857142855,0.7137243789447656
K02077,,,,,rhodopseudomonas,8,22,0.36363636363636365,0.6472848480156526
K02015,,,,,kerstersia,4,5,0.8,1.1071487177940904
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,uba9862,2,4,0.5,0.7853981633974484
K09818,,,,,cajbez01,1,9,0.1111111111111111,0.3398369094541219
K07644,cusS,Sensing/Regulation,Tier 1,0.5829791855461725,2-12-full-66-21,1,2,0.5,0.7853981633974484
K02013,,,,,moritella,18,19,0.9473684210526315,1.339318962824718
K11708,troC,Transport/Homeostasis,Tier 1,0.1610462487044206,uba6626,1,2,0.5,0.7853981633974484
K02068,,,,,methylobacter,1,3,0.3333333333333333,0.6154797086703873
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,kosmotoga,1,2,0.5,0.7853981633974484
K02483,,,,,caiogo01,1,3,0.3333333333333333,0.6154797086703873
K02013,,,,,polaribacter,21,26,0.8076923076923077,1.1168350752225162
K02008,,,,,clostridium_b,18,24,0.75,1.0471975511965976
K09820,,,,,enterococcus_c,5,18,0.2777777777777778,0.5551211675567872
K19975,,,,,jacdhn01,1,2,0.5,0.7853981633974484
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,fen-1137,13,19,0.6842105263157895,0.9740531795773231
K02077,,,,,paenirhodobacter,4,7,0.5714285714285714,0.8570719478501309
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,xanthomonas,99,122,0.8114754098360656,1.1216527789066606
K00240,,,,,jajyrq01,1,1,0.9999,1.5607961601207307
K03446,emrB,Resistance/Detoxification,Tier 2,0.6930795793230609,halopseudomonas,15,47,0.3191489361702128,0.6003516683232554
K02015,,,,,uba6944,11,15,0.7333333333333333,1.0281572245452437
K16784,,,,,pseudohoeflea,2,3,0.6666666666666666,0.9553166181245093
K16264,,,,,chryseobacterium,69,182,0.3791208791208791,0.6633094459248643
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,caizdl01,3,5,0.6,0.8860771237926137
K03750,,,,,s146-80,1,2,0.5,0.7853981633974484
K09815,,,,,mesorhizobium,107,452,0.23672566371681417,0.508130291094738
K09816,,,,,thioclava,5,17,0.29411764705882354,0.573203309100855
K09815,,,,,jakasw01,5,8,0.625,0.9117382909684877
K19975,,,,,microcella,1,2,0.5,0.7853981633974484
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,intestinibacter,4,15,0.26666666666666666,0.5426391022496527
K09817,,,,,oleidesulfovibrio,1,2,0.5,0.7853981633974484
K00240,,,,,uba4417,6,13,0.46153846153846156,0.7468985930690365
K15725,,,,,haliea,6,15,0.4,0.684719203002283
K00380,,,,,pseudomonas_e,663,1788,0.37080536912751677,0.65472092848135
K02015,,,,,2-01-full-64-13,2,2,0.9999,1.5607961601207307
K01534,,,,,gca-001735895,1,3,0.3333333333333333,0.6154797086703873
K01534,,,,,caiuwa01,3,4,0.75,1.0471975511965976
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,flavonifractor,8,32,0.25,0.5235987755982989
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,pnoj01,3,3,0.9999,1.5607961601207307
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,endozoicomonas,8,12,0.6666666666666666,0.9553166181245093
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,gluconobacter,14,30,0.4666666666666667,0.7520400891923357
K14717,,,,,faecalimonas,1,19,0.05263157894736842,0.23147736397017837
K09815,,,,,jacjxw01,5,6,0.8333333333333334,1.1502619915109316
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,skqs01,3,3,0.9999,1.5607961601207307
K09815,,,,,prevotella,489,512,0.955078125,1.357228703208784
K01534,,,,,cryptobacteroides,169,203,0.8325123152709359,1.1491615624045923
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,avilachnospira,8,14,0.5714285714285714,0.8570719478501309
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,ottowia,21,28,0.75,1.0471975511965976
K03750,,,,,klebsiella,55,394,0.13959390862944163,0.3829114801649398
K09816,,,,,meiothermus,6,17,0.35294117647058826,0.6361320628050102
K19971,,,,,bacillus_a,31,370,0.08378378378378379,0.2936566689652564
K11710,,,,,aquimarina,10,16,0.625,0.9117382909684877
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,listeria,21,109,0.1926605504587156,0.4544087558689836
K15725,,,,,leptospira,30,83,0.3614457831325301,0.6450064742112619
K15727,,,,,chroococcidiopsis,4,8,0.5,0.7853981633974484
K02016,,,,,alkalilimnicola,2,2,0.9999,1.5607961601207307
K16264,,,,,alteriqipengyuania,10,13,0.7692307692307693,1.0697033135295395
K11607,,,,,brenneria,5,19,0.2631578947368421,0.5386634660807871
K02006,,,,,rug12817,3,3,0.9999,1.5607961601207307
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,thiobacillus,26,34,0.7647058823529411,1.0643516833813962
K02484,,,,,schlesneria,1,22,0.045454545454545456,0.21484983307571226
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,nak19,2,4,0.5,0.7853981633974484
K02016,,,,,pseudolabrys,10,25,0.4,0.684719203002283
K02225,cobC1,Cofactor Biosynthesis,Tier 2,0.8286025046403807,phaeobacter,4,18,0.2222222222222222,0.49088267828931137
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,uba12574,1,5,0.2,0.4636476090008061
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,specibacter,8,13,0.6153846153846154,0.9018322525264896
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,wybl01,1,2,0.5,0.7853981633974484
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,agathobacter,3,48,0.0625,0.25268025514207865
K02006,,,,,cakuia01,1,1,0.9999,1.5607961601207307
K02068,,,,,uba9410,1,20,0.05,0.2255134058981312
K02008,,,,,uba4085,1,2,0.5,0.7853981633974484
K07798,,,,,defluviicoccus_a,1,2,0.5,0.7853981633974484
K03831,,,,,piscinibacter,2,6,0.3333333333333333,0.6154797086703873
K02016,,,,,limivicinus,50,97,0.5154639175257731,0.8008645472710145
K03981,,,,,uba1847,8,10,0.8,1.1071487177940904
K02009,cbiN,Transport/Homeostasis,Tier 2,0.5686107849885613,enterococcus_a,4,24,0.16666666666666666,0.4205343352839651
K11710,,,,,au392,1,1,0.9999,1.5607961601207307
K02016,,,,,clostridium_f,57,61,0.9344262295081968,1.311837989847123
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,phocaeicola_a,3,10,0.3,0.5796397403637042
K03795,,,,,trichococcus,6,21,0.2857142857142857,0.5639426413606289
